koid	name	op	
KO04753	TU-2646	ecpB,ecpA,ecpD,ecpC,ecpE
KO04020	TU-1356	yfaE,nrdB
KO05316	TU-3527	wbbK,wbbJ
KO04628	TU-2438	lptG,lptF
KO04339	TU-1877	hslR,hslO
KO04338	TU-1876	yrfG,hslR,hslO
KO04331	TU-1863	nirC,nirD,nirB
KO04801	TU-2718	hha,tomB
KO04803	TU-2724	priC,ybaM
KO03233	celABCDF	chbB,chbA,chbC,chbF,chbR
KO03232	flgBCDEFGHI	flgI,flgH,flgG,flgD,flgC,flgF,flgE,flgB
KO03231	flgKL	flgK,flgL
KO03237	ilvBN	ilvB,ilvN
KO03236	ccmABCDEFGH	ccmC,ccmD,ccmE,ccmF,dsbE,ccmH,ccmA,ccmB
KO03235	napFDAGHBC	napF,napB,napC,napD,napA,napG,napH
KO03234	yhaUFED	garR,garK,garP,garL
KO03239	queA-tgt-yajC-secDF	yajC,tgt,queA,secD
KO04935	TU-2936	hcp,hcr
KO04243	TU-1714	ygiM,cca
KO04242	TU-1713	yqiK,yqiJ
KO04933	TU-2934	poxB,ltaE,ybjT
KO04932	TU-2933	ltaE,ybjT
KO05022	TU-3072	minE,minD,minC
KO04314	TU-1833	accC,accB
KO03418	TU-0313	clpX,clpP
KO04317	TU-1839	dusB,fis
KO06137	TU-Exp-0466	fecC,fecD,fecE,fecB,fecA
KO06136	TU-Exp-0464	nikE,nikR,nikB,nikA,nikC,nikD
KO06135	TU-Exp-0463	iscR,iscS,iscA,iscU
KO06069	TU-Exp-0118	ilvD,ilvA,ilvE
KO06066	TU-Exp-0100	nfuA,gntX
KO06060	TU-Exp-0063	fmt,def
KO03349	TU-0184	yafP,yafN,yafO
KO03346	TU-0180	yafL,rayT
KO03345	TU-0178	yafJ,gmhA
KO06087	TU-Exp-0255	speD,speE,yacC
KO03565	TU-0577	amiD,ybjQ
KO06082	TU-Exp-0204	rseB,rseC,rpoE,rseA
KO03560	TU-0572	rimK,ybjN
KO06088	TU-Exp-0265	rpmB,mutM,yicR,rpmG
KO03691	TU-0821	rssB,rssA
KO03697	TU-0843	oppD,oppF,oppB,oppC
KO03696	TU-0839	oppD,oppF,oppB,oppC,oppA
KO05691	TU-4121	mlaE,mlaF,mlaB,mlaC,mlaD
KO05690	TU-4119	mlaB,mlaC
KO05697	TU-4133	sspB,sspA
KO05695	TU-4131	nanK,nanE,yhcH,nanT,nanA
KO05698	TU-4136	rplM,rpsI
KO05501	TU-3822	yfjK,yfjL
KO04092	TU-1472	bepA,yfgD
KO04721	TU-2606	tsaA,rcsF
KO03764	TU-0945	hicA,hicB
KO03767	TU-0949	ydcV,patD
KO03766	TU-0947	ydcS,ydcT,ydcU,ydcV,patD
KO03763	TU-0944	ydcP,ydcN
KO04091	TU-1471	hyfE,hyfD,hyfG,hyfF,hyfA,hyfC,hyfB,hyfI,hyfH,focB,hyfJ,hyfR
KO05328	TU-3549	yegK,yegL
KO03839	TU-1068	lhr,rnt
KO05323	TU-3542	wcaG,wcaD,wcaC,wcaF,wcaE,gmd,wcaI,wcaH,wcaB,wcaA,wza,wzb,wzc,wcaJ,wzxC,cpsB,cpsG
KO05322	TU-3541	wcaK,wcaM,wcaL
KO03837	TU-1063	nemA,nemR
KO05320	TU-3538	wbbH,rfbB,rfbD,wbbK,wbbJ,wbbI,glf,wzxB,rfbC,rfbA
KO05324	TU-3543	dcd,asmA
KO05057	TU-3125	yciK,btuR
KO05056	TU-3124	trpE,trpL,trpA,trpB,trpC,trpD
KO05216	TU-3375	astA,astD,astB,astE,astC
KO05212	TU-3368	chbB,chbG,chbA,chbC,chbF,chbR
KO05036	TU-3090	ispE,lolB
KO05031	TU-3082	dhaK,dhaM,dhaL
KO03904	TU-1178	yebS,yebT
KO04103	TU-1489	hcaE,hcaC,hcaB,hcaD,yphA,hcaF
KO04108	TU-1496	yfhL,yfhH
KO04038	TU-1379	folX,yfcH
KO04031	TU-1370	yfbM,yfbL
KO04032	TU-1371	yfbO,yfbP
KO04633	TU-2444	ythA,yjhC,yjhB
KO04328	TU-1855	prkB,yheU
KO04329	TU-1856	crp,yhfK
KO04320	TU-1842	acrF,acrE
KO04322	TU-1844	yhdX,yhdZ,yhdY
KO04324	TU-1846	trkA,fmt,rsmB,def
KO04327	TU-1854	yheS,yheT,prkB,yheU
KO04818	TU-2750	lpxH,ppiB
KO04817	TU-2749	purK,purE
KO04815	TU-2747	allE,allC
KO04812	TU-2742	tesA,ybbO
KO04810	TU-2738	qmcA,ybbJ
KO03220	lpxAB-rnhB-dnaE	dnaE,lpxB,rnhB,lpxA
KO03221	secMA	secA,secM
KO03222	cusCFBA	cusF,cusC,cusB
KO03223	yegMNOB-baeSR	baeS,baeR,mdtA,mdtB,mdtC,mdtD
KO03224	G4C	gfcB,gfcA,gfcD,gfcC,etp,gfcE,etk
KO03225	cysJI	cysJ,cysI
KO03227	dnaAN	dnaN,dnaA
KO03228	flhAB	flhB,flhA
KO04922	TU-2917	moeB,moeA
KO04255	TU-1738	ygjK,ftsP
KO04257	TU-1740	ygjQ,ygjP
KO04926	TU-2921	ybjH,ybjJ,ybjI
KO04925	TU-2920	ybjG,deoR
KO03592	TU-0637	elfD,elfA,ycbU,ycbV,elfC,elfG,ycbF
KO06070	TU-Exp-0124	lptD,pdxA,surA
KO06071	TU-Exp-0125	apaG,rsmA,pdxA,apaH
KO03596	TU-0644	pqiB,pqiA,pqiC
